haveit,pubDate,title,link,description
1,1406325360000,25 07 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_25_07_2014.mp3,Arthur Petry
1,1406940960000,01 08 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_01_08_2014.mp3,Arthur Petry
1,1407545760000,08 08 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_08_08_2014.mp3,Arthur Petry
1,1408150560000,15 08 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_15_08_2014.mp3,Arthur Petry
1,1408755360000,22 08 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_22_08_2014.mp3,Arthur Petry
0,1409187360000,27 06 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_27_06_2014.mp3,Arthur Petry
1,1409352600000,29 08 2014,http://arthurpetry.com/podcastgen/?name=2015-12-10_29_08_2014.mp3,Arthur Petry
1,1409964960000,05 09 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_05_09_2014.mp3,Arthur Petry
1,1410569760000,12 09 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_12_09_2014.mp3,Arthur Petry
1,1411768560000,26 09 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_26_09_2014.mp3,Arthur Petry
1,1412384160000,03 10 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_03_10_2014.mp3,Arthur Petry
1,1412988960000,10 10 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_10_10_2014.mp3,Arthur Petry
1,1413593760000,17 10 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_17_10_2014.mp3,Arthur Petry
1,1414198560000,24 10 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_24_10_2014.mp3,Arthur Petry
1,1414792200000,31 10 2014,http://arthurpetry.com/podcastgen/?name=2015-12-10_31_10_2014.mp3,Arthur Petry
1,1416016560000,14 11 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_14_11_2014.mp3,Arthur Petry
1,1416621360000,21 11 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_21_11_2014.mp3,Arthur Petry
0,1417128960000,27 11 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_27_11_2014.mp3,Arthur Petry
1,1417218600000,28 11 2014,http://arthurpetry.com/podcastgen/?name=2015-12-10_28_11_2014.mp3,Arthur Petry
1,1417830960000,05 12 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_05_12_2014.mp3,Arthur Petry
1,1419040560000,19 12 2014,http://arthurpetry.com/podcastgen/?name=2016-01-06_19_12_2014.mp3,Arthur Petry
1,1419634560000,26 12 2014,http://arthurpetry.com/podcastgen/?name=2015-12-17_26_12_2014.mp3,Arthur Petry
